distance_min_px,distance_max_px,distance_center_px,pixel_count,valid_count,foreground_count,background_count,mixed_count,outlier_count,invalid_count,foreground_ratio,background_ratio,mixed_ratio,outlier_ratio,invalid_ratio
-20.0,-19.0,-20.0,108535,108535,108535,0,0,0,0,1.0,0.0,0.0,0.0,0.0
-19.0,-17.0,-18.0,217070,217070,217070,0,0,0,0,1.0,0.0,0.0,0.0,0.0
-17.0,-15.0,-16.0,217070,217070,217070,0,0,0,0,1.0,0.0,0.0,0.0,0.0
-15.0,-13.0,-14.0,217070,217070,217070,0,0,0,0,1.0,0.0,0.0,0.0,0.0
-13.0,-11.0,-12.0,217070,217070,217070,0,0,0,0,1.0,0.0,0.0,0.0,0.0
-11.0,-9.0,-10.0,217070,217070,217070,0,0,0,0,1.0,0.0,0.0,0.0,0.0
-9.0,-7.0,-8.0,217070,217070,217070,0,0,0,0,1.0,0.0,0.0,0.0,0.0
-7.0,-5.0,-6.0,217070,217070,217070,0,0,0,0,1.0,0.0,0.0,0.0,0.0
-5.0,-3.0,-4.0,217070,217040,216998,0,42,0,30,0.99980648728345,0.0,0.00019351271654994472,0.0,0.0001382042659050076
-3.0,-1.0,-2.0,217070,208493,207843,0,650,0,8577,0.9968823893368123,0.0,0.003117610663187733,0.0,0.03951259962224167
-1.0,1.0,0.0,217513,189193,135302,37621,16270,0,28320,0.7151533090547747,0.19884985173870068,0.08599683920652455,0.0,0.13019911453568292
1.0,3.0,2.0,217070,208994,8828,192521,7595,50,8076,0.04224044709417495,0.9211795553939347,0.03634075619395772,0.00023924131793257223,0.037204588381628045
3.0,5.0,4.0,217070,216997,40,214803,1120,1034,73,0.00018433434563611478,0.9898892611418592,0.005161361677811214,0.0047650428346935675,0.0003362970470355185
5.0,7.0,6.0,217070,217070,0,214751,245,2074,0,0.0,0.989316810245543,0.001128668171557562,0.009554521582899525,0.0
7.0,9.0,8.0,217070,217070,0,214696,0,2374,0,0.0,0.9890634357580504,0.0,0.010936564241949602,0.0
9.0,11.0,10.0,217070,217070,0,214216,0,2854,0,0.0,0.9868521675035703,0.0,0.013147832496429724,0.0
11.0,13.0,12.0,217070,217070,0,215186,0,1884,0,0.0,0.9913207721011655,0.0,0.008679227898834477,0.0
13.0,15.0,14.0,217070,217070,0,215738,197,1135,0,0.0,0.9938637305938177,0.0009075413461095499,0.005228728060072787,0.0
15.0,17.0,16.0,217070,217070,0,215144,490,1436,0,0.0,0.9911272861288986,0.002257336343115124,0.006615377527986364,0.0
17.0,19.0,18.0,217070,217070,0,213607,340,3123,0,0.0,0.9840466209056986,0.001566315013590086,0.014387064080711292,0.0
19.0,20.0,20.0,108535,108535,0,106852,54,1629,0,0.0,0.9844934813654581,0.0004975353572580273,0.015008983277283826,0.0
