frame_index,timestamp_ns,foreground_reference_mm,background_reference_mm,measured_gap_mm,foreground_bleeding_ratio,foreground_bleeding_max_distance_px,background_bleeding_ratio,background_bleeding_max_distance_px,mixed_ratio,peak_mixed_ratio,peak_mixed_distance_px,outlier_ratio,invalid_ratio,invalid_band_width_px,transition_width_px,nominal_edge_offset_px,analysis_status,transition_status
0,1785284618865451779,984.0,1300.0,316.0,0.0,,0.05944055944055944,2.0,0.03952344931921331,0.176,0.0,0.00037821482602118004,0.02811983091343503,0.0,3.217645466847091,-1.8308525033829501,ok,ok
1,1785284618906310540,983.0,1299.0,316.0,0.0,,0.056589147286821705,2.0,0.03647703647703648,0.20164609053497942,0.0,0.002079002079002079,0.027568461679838265,0.0,3.2779424533928223,-2.1145284251796994,ok,ok
2,1785284618906832761,984.0,1300.0,316.0,0.0,,0.05852516582130316,2.0,0.03621539628365567,0.15853658536585366,0.0,0.0034129692832764505,0.0306928873368866,0.0,3.333484724705956,-1.9364997418688694,ok,ok
3,1785284618936990578,983.0,1300.0,317.0,0.0,,0.05467847516365037,2.0,0.06795933734939759,0.244,0.0,0.0011295180722891566,0.023708877044660907,0.0,3.241161296764745,-1.8839285714285712,ok,ok
4,1785284618970595171,983.0,1299.5,316.5,0.0,,0.05905055962948669,2.0,0.05164938737040528,0.20883534136546184,0.0,0.0005655042412818096,0.024995405256386695,0.0,3.223704191528962,-1.8848421782865072,ok,ok
5,1785284619002016814,983.0,1300.0,317.0,0.0,,0.048174048174048176,2.0,0.07413010590015129,0.304,0.0,0.0005673222390317701,0.02811983091343503,0.0,3.2663130813176835,-1.8606687898089171,ok,ok
6,1785284619036962042,984.0,1299.0,315.0,0.0,,0.057796741660201705,2.0,0.042155009451795844,0.18725099601593626,0.0,0.000945179584120983,0.02775225142437052,0.0,3.2477863434341527,-1.8609803378565493,ok,ok
7,1785284619071112363,984.0,1300.0,316.0,0.0,,0.05029013539651837,2.0,0.06284204566899415,0.2589641434262948,0.0,0.0018871485185884128,0.026098143723580224,0.0,3.282095414978887,-1.8926098794243484,ok,ok
8,1785284619105243311,983.0,1300.0,317.0,0.00036900369003690036,,0.0473970473970474,2.0,0.07038789025543993,0.27125506072874495,0.0,0.0011352885525070956,0.028671200147031797,0.0,3.2657246371537854,-1.9069329314242651,ok,ok
9,1785284619129930797,983.0,1300.0,317.0,0.0,,0.05056840454723638,2.0,0.06914893617021277,0.27125506072874495,0.0,0.0024696048632218844,0.03253078478220915,0.0,3.2877609280112194,-1.9656355794648241,ok,ok
