distance_min_px,distance_max_px,distance_center_px,pixel_count,valid_count,foreground_count,background_count,mixed_count,outlier_count,invalid_count,foreground_ratio,background_ratio,mixed_ratio,outlier_ratio,invalid_ratio
-20.0,-19.0,-20.0,59976,59976,59976,0,0,0,0,1.0,0.0,0.0,0.0,0.0
-19.0,-17.0,-18.0,119952,119952,119952,0,0,0,0,1.0,0.0,0.0,0.0,0.0
-17.0,-15.0,-16.0,119952,119952,119952,0,0,0,0,1.0,0.0,0.0,0.0,0.0
-15.0,-13.0,-14.0,119952,119952,119952,0,0,0,0,1.0,0.0,0.0,0.0,0.0
-13.0,-11.0,-12.0,119952,119952,119952,0,0,0,0,1.0,0.0,0.0,0.0,0.0
-11.0,-9.0,-10.0,119952,119952,119952,0,0,0,0,1.0,0.0,0.0,0.0,0.0
-9.0,-7.0,-8.0,119952,119952,119952,0,0,0,0,1.0,0.0,0.0,0.0,0.0
-7.0,-5.0,-6.0,119952,117764,117764,0,0,0,2188,1.0,0.0,0.0,0.0,0.018240629585167402
-5.0,-3.0,-4.0,119952,101566,100400,0,0,1166,18386,0.9885197802414194,0.0,0.0,0.011480219758580627,0.15327797785780978
-3.0,-1.0,-2.0,119952,84453,42726,24543,15165,2019,35499,0.5059145323434336,0.2906113459557387,0.17956733330965152,0.023906788391176156,0.2959433773509404
-1.0,1.0,0.0,120393,110105,881,83644,25308,272,10288,0.008001453158348848,0.759674855819445,0.22985332182916307,0.0024703691930430044,0.08545347320857526
1.0,3.0,2.0,119952,119823,0,97544,22217,62,129,0.0,0.8140674161054222,0.18541515401884445,0.0005174298757333734,0.0010754301720688276
3.0,5.0,4.0,119952,119949,0,96727,23222,0,3,0.0,0.8064010537811903,0.19359894621880966,0.0,2.5010004001600642e-05
5.0,7.0,6.0,119952,119952,0,104380,15571,1,0,0.0,0.8701814058956916,0.12981025743630786,8.336668000533546e-06,0.0
7.0,9.0,8.0,119952,119952,0,114815,5134,3,0,0.0,0.9571745364812592,0.042800453514739226,2.5010004001600642e-05,0.0
9.0,11.0,10.0,119952,119952,0,119317,632,3,0,0.0,0.9947062158196612,0.005268774176337201,2.5010004001600642e-05,0.0
11.0,13.0,12.0,119952,119952,0,117073,2879,0,0,0.0,0.9759987328264639,0.02400126717353608,0.0,0.0
13.0,15.0,14.0,119952,119952,0,115206,4746,0,0,0.0,0.9604341736694678,0.03956582633053221,0.0,0.0
15.0,17.0,16.0,119952,119952,0,112138,7814,0,0,0.0,0.9348572762438309,0.06514272375616914,0.0,0.0
17.0,19.0,18.0,119952,119952,0,111148,8804,0,0,0.0,0.9266039749233027,0.07339602507669735,0.0,0.0
19.0,20.0,20.0,59976,59976,0,55837,4138,1,0,0.0,0.9309890622915833,0.06899426437241564,1.6673336001067092e-05,0.0
