frame_index,timestamp_ns,foreground_reference_mm,background_reference_mm,measured_gap_mm,foreground_bleeding_ratio,foreground_bleeding_max_distance_px,background_bleeding_ratio,background_bleeding_max_distance_px,mixed_ratio,peak_mixed_ratio,peak_mixed_distance_px,outlier_ratio,invalid_ratio,invalid_band_width_px,transition_width_px,nominal_edge_offset_px,analysis_status,transition_status
0,1785284797763583690,996.0,1301.0,305.0,0.0,,0.0,,0.021849745585154144,0.3670886075949367,0.0,0.0017958695001496557,0.05246738513896767,4.0,3.1611559139784946,-0.35416666666666674,ok,ok
1,1785284797796644139,996.0,1304.0,308.0,0.0,,0.0,,0.02880658436213992,0.27522935779816515,0.0,0.0026455026455026454,0.03516732841747022,0.0,3.19993265993266,-0.018181818181818077,ok,ok
2,1785284797830781689,996.0,1304.0,308.0,0.0,,0.0,,0.017809439002671415,0.22340425531914893,0.0,0.0,0.0445263754963131,0.0,3.1996376811594205,-0.04166666666666696,ok,ok
3,1785284797868227960,996.0,1304.0,308.0,0.0,,0.0,,0.014488468361916026,0.19767441860465115,2.0,0.0005913660555884093,0.04083947816222348,0.0,3.19504835589942,0.14545454545454536,ok,ok
4,1785284797908464302,996.0,1304.0,308.0,0.0,,0.0,,0.021114369501466276,0.22727272727272727,0.0,0.002346041055718475,0.032898468519568916,0.0,3.227255625837703,-0.2896160086533264,ok,ok
5,1785284797921319511,996.0,1304.0,308.0,0.0,,0.0,,0.054626865671641794,0.4431818181818182,0.0,0.0,0.049914917753828704,0.0,3.3968812877263583,-0.4949698189134808,ok,ok
6,1785284797949626306,997.0,1304.0,307.0,0.0,,0.0,,0.022923489133670736,0.2736842105263158,0.0,0.0,0.04736245036868973,0.0,3.1297010607521702,-0.4426229508196722,ok,ok
7,1785284797982250601,997.0,1305.0,308.0,0.0,,0.0,,0.022354694485842028,0.2840909090909091,0.0,0.0005961251862891207,0.048496880317640385,0.0,3.198343685300207,-0.08695652173913038,ok,ok
8,1785284798025384587,996.0,1304.0,308.0,0.0,,0.0,,0.03996447602131439,0.3488372093023256,2.0,0.0,0.04197390811117414,0.0,3.19504835589942,-0.14545454545454573,ok,ok
9,1785284798060655514,996.0,1301.0,305.0,0.0,,0.0,,0.02286902286902287,0.34444444444444444,0.0,0.003564003564003564,0.04509359047078843,0.0,3.1491596638655466,-0.3928571428571428,ok,ok
10,1785284798095408601,996.0,1303.0,307.0,0.0,,0.0,,0.01698956780923994,0.27586206896551724,0.0,0.0,0.048496880317640385,0.0,3.1398863636363634,-0.4181818181818182,ok,ok
11,1785284798125632261,997.0,1304.0,307.0,0.0,,0.0,,0.023767082590612002,0.28,0.0,0.0,0.04537719795802609,0.0,3.1840065279477763,-0.2456140350877194,ok,ok
12,1785284798158482371,996.0,1304.0,308.0,0.0,,0.0018844221105527637,,0.02024412027389104,0.23353293413173654,2.0,0.0,0.04736245036868973,0.0,3.1900000000000004,-0.20000000000000018,ok,ok
13,1785284798192349356,996.0,1304.0,308.0,0.0,,0.0019059720457433292,,0.02090176171991639,0.28488372093023256,2.0,0.0011943863839952225,0.05019852524106636,0.0,3.165067385444744,-0.3396226415094341,ok,ok
14,1785284798217127353,997.0,1303.0,306.0,0.0,,0.0,,0.01626737651582372,0.24242424242424243,0.0,0.0,0.04112308564946115,0.0,3.1900000000000004,-0.20000000000000018,ok,ok
15,1785284798261463054,997.0,1304.0,307.0,0.0,,0.0,,0.01994719859196245,0.1452991452991453,0.0,0.004693458492226459,0.03318207600680658,0.0,3.198536299765808,-0.08196721311475375,ok,ok
16,1785284798291973082,997.0,1304.0,307.0,0.0,,0.0,,0.00861812778603269,0.18085106382978725,0.0,0.0,0.045660805445263755,0.0,3.1996376811594205,-0.04166666666666696,ok,ok
17,1785284798325348064,996.0,1304.0,308.0,0.0,,0.0,,0.03440094899169632,0.26595744680851063,0.0,0.0002965599051008304,0.04367555303460011,0.0,3.1941632466940266,-0.15686274509803932,ok,ok
18,1785284798358975194,997.0,1304.0,307.0,0.0,,0.0,,0.025388291517323774,0.2857142857142857,0.0,0.0005973715651135006,0.05048213272830403,0.0,3.177656405163853,-0.283018867924528,ok,ok
19,1785284798392155170,997.0,1305.0,308.0,0.0,,0.0,,0.051871500147362214,0.3372093023255814,2.0,0.005599764220453876,0.03771979580260919,0.0,3.091591591591592,-0.5135135135135136,ok,ok
20,1785284798425212979,997.0,1304.0,307.0,0.0,,0.0,,0.015242080095636582,0.20689655172413793,0.0,0.0,0.05104934770277935,0.0,3.1870032223415685,-0.22448979591836737,ok,ok
21,1785284798458017178,997.0,1303.0,306.0,0.0,,0.0,,0.02070828331332533,0.24675324675324675,0.0,0.0,0.055019852524106634,4.0,3.196612466124661,-0.12195121951219545,ok,ok
22,1785284798492482394,997.0,1304.0,307.0,0.0,,0.0,,0.02168102168102168,0.3076923076923077,0.0,0.000297000297000297,0.04509359047078843,0.0,3.1833333333333336,-0.25,ok,ok
23,1785284798525274301,996.0,1306.0,310.0,0.0,,0.0,,0.02084574151280524,0.2727272727272727,0.0,0.0,0.0476460578559274,0.0,3.146666666666667,-0.3999999999999999,ok,ok
24,1785284798559525117,997.0,1304.0,307.0,0.0,,0.0018679950186799503,,0.11035903472630959,0.4188034188034188,0.0,0.008534432018834609,0.036301758366420876,0.0,,,ok,nonmonotonic_crossing
