distance_min_px,distance_max_px,distance_center_px,pixel_count,valid_count,foreground_count,background_count,mixed_count,outlier_count,invalid_count,foreground_ratio,background_ratio,mixed_ratio,outlier_ratio,invalid_ratio
-20.0,-19.0,-20.0,37152,37152,37141,0,11,0,0,0.9997039190353144,0.0,0.00029608096468561584,0.0,0.0
-19.0,-17.0,-18.0,74304,74304,74205,0,99,0,0,0.9986676356589147,0.0,0.0013323643410852713,0.0,0.0
-17.0,-15.0,-16.0,74304,74304,73869,0,435,0,0,0.9941456718346253,0.0,0.005854328165374677,0.0,0.0
-15.0,-13.0,-14.0,74304,74304,73776,0,528,0,0,0.9928940568475452,0.0,0.0071059431524547806,0.0,0.0
-13.0,-11.0,-12.0,74304,74304,73930,0,374,0,0,0.9949666236003445,0.0,0.005033376399655469,0.0,0.0
-11.0,-9.0,-10.0,74304,74304,74007,0,297,0,0,0.9960029069767442,0.0,0.003997093023255814,0.0,0.0
-9.0,-7.0,-8.0,74304,74304,73577,0,727,0,0,0.9902158699397071,0.0,0.00978413006029285,0.0,0.0
-7.0,-5.0,-6.0,74304,74304,72889,0,1415,0,0,0.9809566106804479,0.0,0.01904338931955211,0.0,0.0
-5.0,-3.0,-4.0,74304,73202,72300,0,898,4,1102,0.9876779322969318,0.0,0.012267424387311822,5.46433157564001e-05,0.014830964685615849
-3.0,-1.0,-2.0,74304,39980,39803,0,128,49,34324,0.9955727863931966,0.0,0.0032016008004002003,0.0012256128064032016,0.4619401378122308
-1.0,1.0,0.0,74304,39362,16621,12615,10097,29,34942,0.4222600477618007,0.320486763883949,0.2565164371729079,0.0007367511813424115,0.47025732127476316
1.0,3.0,2.0,74304,73744,0,56433,15954,1357,560,0.0,0.765255478411803,0.21634302451724885,0.018401497070948146,0.007536606373815676
3.0,5.0,4.0,74304,74304,0,70057,2980,1267,0,0.0,0.9428429155900087,0.04010551248923342,0.017051571920757968,0.0
5.0,7.0,6.0,74304,74304,0,73576,650,78,0,0.0,0.9902024117140397,0.008747846683893196,0.0010497416020671835,0.0
7.0,9.0,8.0,74304,74304,0,73950,332,22,0,0.0,0.9952357881136951,0.004468130921619294,0.00029608096468561584,0.0
9.0,11.0,10.0,74304,74304,0,74067,212,25,0,0.0,0.9968104005167958,0.0028531438415159345,0.00033645564168819985,0.0
11.0,13.0,12.0,74304,74304,0,73875,411,18,0,0.0,0.9942264211886305,0.005531330749354005,0.00024224806201550387,0.0
13.0,15.0,14.0,74304,74304,0,73724,580,0,0,0.0,0.9921942291128337,0.007805770887166236,0.0,0.0
15.0,17.0,16.0,74304,74304,0,74005,291,8,0,0.0,0.9959759905254091,0.003916343669250646,0.00010766580534022394,0.0
17.0,19.0,18.0,74304,74304,0,74026,267,11,0,0.0,0.9962586132644272,0.003593346253229974,0.00014804048234280792,0.0
19.0,20.0,20.0,74304,74304,0,73905,395,4,0,0.0,0.9946301679586563,0.005315999138673557,5.383290267011197e-05,0.0
