frame_index,timestamp_ns,foreground_reference_mm,background_reference_mm,measured_gap_mm,foreground_bleeding_ratio,foreground_bleeding_max_distance_px,background_bleeding_ratio,background_bleeding_max_distance_px,mixed_ratio,peak_mixed_ratio,peak_mixed_distance_px,outlier_ratio,invalid_ratio,invalid_band_width_px,transition_width_px,nominal_edge_offset_px,analysis_status,transition_status
28,1785284690211229172,1945.0,2276.0,331.0,0.0,,0.017361111111111112,,0.14625,0.6510416666666666,0.0,0.0,0.0,0.0,4.587826086956524,-1.5478260869565217,ok,ok
29,1785284690236705601,1948.0,2276.0,328.0,0.0,,0.024305555555555556,,0.11,0.59375,0.0,0.0,0.0,0.0,3.4635895615125154,-1.3740458015267176,ok,ok
30,1785284690281250955,1948.0,2276.0,328.0,0.0,,0.015625,,0.19041666666666668,0.71875,0.0,0.0,0.0,0.0,7.124271844660197,-1.766990291262136,ok,ok
31,1785284690311262527,1948.0,2276.0,328.0,0.0,,0.0234375,,0.10833333333333334,0.5833333333333334,0.0,0.0,0.0,0.0,3.2333333333333334,-1.2816901408450705,ok,ok
32,1785284690344715540,1948.0,2272.0,324.0,0.0,,0.020833333333333332,,0.11416666666666667,0.625,0.0,0.0,0.0,0.0,3.671538461538461,-1.4,ok,ok
33,1785284690378105542,1945.0,2276.0,331.0,0.0,,0.020833333333333332,,0.1525,0.609375,0.0,0.0,0.0,0.0,7.417821782178219,-1.702970297029703,ok,ok
34,1785284690410736168,1945.0,2276.0,331.0,0.0,,0.020833333333333332,,0.18125,0.6614583333333334,0.0,0.0,0.0,0.0,,,ok,missing_crossing
35,1785284690444484230,1945.0,2276.0,331.0,0.0,,0.012152777777777778,,0.16416666666666666,0.75,0.0,0.0,0.0,0.0,5.640659340659343,-1.8076923076923075,ok,ok
36,1785284690477965532,1948.0,2276.0,328.0,0.0,,0.020833333333333332,,0.11625,0.609375,0.0,0.0,0.0,0.0,4.07936507936508,-1.396825396825397,ok,ok
37,1785284690513377178,1948.0,2276.0,328.0,0.0,,0.020833333333333332,,0.09958333333333333,0.6197916666666666,0.0,0.0,0.0,0.0,3.3039743589743598,-1.3692307692307693,ok,ok
38,1785284690544775168,1945.0,2276.0,331.0,0.0,,0.024305555555555556,,0.11666666666666667,0.5729166666666666,0.0,0.0,0.0,0.0,4.863247863247863,-1.5384615384615383,ok,ok
39,1785284690582317951,1945.0,2272.0,327.0,0.0,,0.026909722222222224,,0.175,0.5885416666666666,0.0,0.0,0.0,0.0,10.931241830065362,-2.2916666666666665,ok,ok
40,1785284690612842876,1948.0,2279.0,331.0,0.0,,0.027777777777777776,,0.10458333333333333,0.5572916666666666,0.0,0.0,0.0,0.0,3.698032200357782,-1.3798449612403099,ok,ok
41,1785284690644882233,1945.0,2272.0,327.0,0.0,,0.026909722222222224,,0.11666666666666667,0.5572916666666666,0.0,0.0,0.0,0.0,4.76950998185118,-1.5862068965517242,ok,ok
42,1785284690678929280,1945.0,2276.0,331.0,0.0,,0.024305555555555556,,0.15166666666666667,0.6145833333333334,0.0,0.0,0.0,0.0,8.13793103448276,-1.5862068965517242,ok,ok
43,1785284690712293246,1945.0,2272.0,327.0,0.0,,0.026909722222222224,,0.14833333333333334,0.5572916666666666,0.0,0.0,0.0,0.0,7.412912087912088,-2.0,ok,ok
44,1785284690738257894,1945.0,2268.0,323.0,0.0,,0.030381944444444444,,0.11875,0.5625,0.0,0.00125,0.0,0.0,5.382075471698114,-1.7169811320754718,ok,ok
45,1785284690769752523,1948.0,2272.0,324.0,0.0,,0.013020833333333334,,0.1725,0.7447916666666666,0.0,0.0,0.0,0.0,6.438207547169813,-1.7358490566037736,ok,ok
46,1785284690810793436,1945.0,2272.0,327.0,0.0,,0.009548611111111112,,0.15083333333333335,0.7604166666666666,0.0,0.0,0.0,0.0,3.930967741935484,-1.467741935483871,ok,ok
47,1785284690844221374,1948.0,2268.0,320.0,0.0,,0.0234375,,0.1175,0.5625,0.0,0.0,0.0,0.0,5.547826086956523,-1.5478260869565217,ok,ok
48,1785284690879834936,1945.0,2276.0,331.0,0.0,,0.012152777777777778,,0.14833333333333334,0.7291666666666666,0.0,0.0,0.0,0.0,4.67637848876787,-1.575221238938053,ok,ok
49,1785284690912269618,1945.0,2272.0,327.0,0.0,,0.009548611111111112,,0.15791666666666668,0.75,0.0,0.00125,0.0,0.0,6.226470588235295,-1.3529411764705883,ok,ok
50,1785284690946024672,1948.0,2276.0,328.0,0.0,,0.009548611111111112,,0.16833333333333333,0.7708333333333334,0.0,0.01,0.0,0.0,5.501146788990825,-1.6330275229357798,ok,ok
51,1785284690978021384,1945.0,2272.0,327.0,0.002403846153846154,,0.016493055555555556,,0.14291666666666666,0.6354166666666666,0.0,0.0,0.0,0.0,7.34479889042996,-1.6893203883495145,ok,ok
52,1785284691012577308,1945.0,2272.0,327.0,0.0,,0.026041666666666668,,0.14708333333333334,0.59375,0.0,0.0,0.0,0.0,7.957142857142858,-1.7222222222222223,ok,ok
